epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,4487.18,0.87348,1.33502,0.52782,0.90877,0.91575,0.85543,0.89592,0.63263,0.91384,0.85058,0.89215,0.50908,1.13116,1.60084,0.72585,1.06858,0.000209209,0.000209209,0.000209209
108,4506.74,0.8684,1.34923,0.52938,0.91023,0.90677,0.86377,0.89856,0.63335,0.89486,0.86559,0.89518,0.51356,1.13302,1.58541,0.72482,1.07745,0.000195456,0.000195456,0.000195456
109,4535.26,0.86726,1.34393,0.53074,0.90759,0.90687,0.85953,0.89688,0.63361,0.9063,0.84986,0.89344,0.51167,1.13228,1.59517,0.72086,1.07611,0.000181703,0.000181703,0.000181703
110,4573.74,0.86267,1.31843,0.52783,0.90651,0.91414,0.8576,0.89892,0.62822,0.90896,0.84801,0.89098,0.50562,1.14311,1.60814,0.71974,1.07849,0.00016795,0.00016795,0.00016795
111,4608,0.84461,1.28168,0.52517,0.90161,0.90876,0.86173,0.89771,0.62321,0.90354,0.85342,0.89193,0.5085,1.14919,1.58711,0.72116,1.08504,0.000154198,0.000154198,0.000154198
112,4624.07,0.83606,1.27176,0.51774,0.8969,0.91905,0.85589,0.90269,0.62843,0.9131,0.85044,0.89733,0.50591,1.13641,1.57617,0.71657,1.08013,0.000140445,0.000140445,0.000140445
113,4640.2,0.83372,1.26723,0.51075,0.90223,0.90534,0.85772,0.90212,0.63104,0.91152,0.85286,0.899,0.51143,1.14168,1.59369,0.7233,1.08748,0.000126692,0.000126692,0.000126692
114,4656.43,0.82218,1.24469,0.50898,0.89263,0.91117,0.86233,0.90153,0.63389,0.91928,0.85197,0.89856,0.50868,1.13744,1.59187,0.72704,1.08216,0.000112939,0.000112939,0.000112939
115,4672.49,0.80878,1.23791,0.49984,0.8929,0.90909,0.86559,0.89895,0.63379,0.90258,0.85953,0.89568,0.51171,1.13657,1.59992,0.72664,1.08061,9.91865e-05,9.91865e-05,9.91865e-05
116,4688.55,0.81649,1.23729,0.50334,0.89518,0.91352,0.86134,0.89959,0.63255,0.90952,0.85523,0.89662,0.51483,1.13658,1.59997,0.72769,1.08121,8.54337e-05,8.54337e-05,8.54337e-05
117,4704.93,0.80079,1.22022,0.49706,0.89031,0.91103,0.86559,0.89932,0.63182,0.90773,0.8571,0.89622,0.51509,1.1344,1.59784,0.71934,1.07718,7.1681e-05,7.1681e-05,7.1681e-05
118,4721.25,0.79837,1.21585,0.49654,0.88951,0.90255,0.86695,0.8978,0.63345,0.89763,0.86377,0.89746,0.51361,1.13166,1.61078,0.72312,1.07332,5.79283e-05,5.79283e-05,5.79283e-05
119,4737.35,0.78468,1.18866,0.4872,0.88463,0.91071,0.86133,0.89745,0.63169,0.90928,0.85431,0.89576,0.51011,1.13211,1.60925,0.72055,1.07247,4.41755e-05,4.41755e-05,4.41755e-05
120,4758.61,0.79325,1.20432,0.49001,0.88408,0.91082,0.85953,0.8982,0.63319,0.90907,0.8468,0.89217,0.50856,1.1364,1.61609,0.72086,1.07666,3.04227e-05,3.04227e-05,3.04227e-05
